Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Selected
395,SAT_169,"Cordoba, Argentina",81.6,1844.1,85.5,YES
396,SAT_183,"Punta Arenas, Chile",55.8,1549.7,391.9,YES
397,SAT_182,"Punta Arenas, Chile",83.07,1860.9,71.5,YES
398,SAT_182,"Ushuaia, Argentina",78.49,1808.7,119.8,YES
399,SAT_088,"North Pole, USA",83.25,1863.0,68.8,YES
400,SAT_090,"Deadhorse, USA",88.32,1920.8,17.1,YES
401,SAT_089,"Utqiagvik, USA",78.45,1808.2,118.9,YES
402,SAT_020,"Awarua, New Zeland",66.89,1676.3,247.9,YES
403,SAT_021,"Awarua, New Zeland",69.68,1708.1,215.2,YES
404,SAT_021,"Awarua, New Zeland",41.44,1385.8,628.4,YES
405,SAT_029,"Dubbo, Australia",39.03,1358.3,671.3,YES
406,SAT_029,"Dubbo, Australia",67.11,1678.8,242.3,YES
407,SAT_071,"Obihiro, Japan",78.74,1811.5,114.2,YES
408,SAT_054,"Harmon, Guam",82.52,1854.6,74.6,YES
409,SAT_105,"Sodankylä, Finland",88.63,1924.3,13.9,YES
410,SAT_110,"Stockholm, Sweden",83.4,1864.7,66.8,YES
411,SAT_069,"Seoul, South Korea",74.69,1765.3,156.0,YES
412,SAT_143,"Accra, Ghana",69.82,1709.7,207.2,YES
413,SAT_027,"Mingenew, Australia",57.98,1574.6,354.0,YES
414,SAT_170,"Cape Town, South Africa",84.35,1875.5,57.1,YES
415,SAT_170,"Cape Town, South Africa",59.19,1588.4,338.2,YES
416,SAT_168,"Pretoria, South Africa",47.66,1456.8,505.1,YES
417,SAT_168,"Pretoria, South Africa",78.6,1809.9,115.3,YES
418,SAT_048,Singapore,75.41,1773.5,146.4,YES
419,SAT_048,Singapore,61.69,1616.9,300.0,YES
420,SAT_149,"Mwulire, Rwanda",74.71,1765.6,153.6,YES
421,SAT_110,"Zallaq, Bahrain",85.69,1890.8,42.8,YES
422,SAT_106,"Dubai, UAE",75.5,1774.5,146.2,YES
423,SAT_106,"Dubai, UAE",44.57,1421.5,551.2,YES
424,SAT_106,"Dubai, UAE",27.34,1224.9,958.0,YES
425,SAT_107,"Dubai, UAE",17.2,1109.3,1363.9,YES
426,SAT_109,"Dubai, UAE",10.41,1031.8,1766.5,YES
427,SAT_115,"Dubai, UAE",5.46,975.2,2154.1,YES
431,SAT_200,"Dubai, UAE",9.3,1019.0,1842.0,YES
432,SAT_200,"Dubai, UAE",15.93,1094.7,1423.5,YES
433,SAT_200,"Dubai, UAE",25.68,1206.0,1005.7,YES
434,SAT_200,"Dubai, UAE",42.17,1394.1,589.7,YES
