Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Aggregated_Rate_Mbps,Simultaneous_Count
28,SAT_108,"Obihiro, Japan",83.53,1866.1,64.9,16769.1,11
28,SAT_001,"Awarua, New Zeland",81.32,1841.0,94.5,16769.1,11
28,SAT_109,"Chitose, Japan",77.72,1799.9,124.3,16769.1,11
28,SAT_035,"Tahiti, French Polynesia",66.05,1666.6,250.6,16769.1,11
28,SAT_118,"Seoul, South Korea",63.51,1637.8,281.0,16769.1,11
28,SAT_064,"Paumalu, USA",55.7,1548.5,379.2,16769.1,11
28,SAT_166,"Mingenew, Australia",47.64,1456.6,504.6,16769.1,11
28,SAT_061,"Kapolei, USA",45.86,1436.2,528.7,16769.1,11
28,SAT_146,Singapore,30.22,1257.8,871.1,16769.1,11
28,SAT_186,"Dubbo, Australia",20.96,1152.2,1220.1,16769.1,11
28,SAT_175,"Alice Springs, Australia",16.95,1106.4,1401.2,16769.1,11
29,SAT_063,"Kapolei, USA",85.86,1892.8,40.9,15688.1,11
29,SAT_064,"Paumalu, USA",75.21,1771.2,149.1,15688.1,11
29,SAT_108,"Obihiro, Japan",51.9,1505.2,436.7,15688.1,11
29,SAT_001,"Awarua, New Zeland",51.14,1496.6,480.1,15688.1,11
29,SAT_111,"Chitose, Japan",42.91,1402.6,586.0,15688.1,11
29,SAT_118,"Seoul, South Korea",38.37,1350.8,674.9,15688.1,11
29,SAT_035,"Tahiti, French Polynesia",38.09,1347.6,679.9,15688.1,11
29,SAT_186,"Dubbo, Australia",32.85,1287.9,818.2,15688.1,11
29,SAT_166,"Mingenew, Australia",29.93,1254.5,888.5,15688.1,11
29,SAT_171,"Alice Springs, Australia",28.97,1243.6,920.2,15688.1,11
29,SAT_146,Singapore,19.49,1135.4,1255.4,15688.1,11
30,SAT_186,"Dubbo, Australia",53.56,1524.1,416.8,12943.3,10
30,SAT_062,"Kapolei, USA",49.38,1476.4,470.2,12943.3,10
30,SAT_171,"Alice Springs, Australia",45.83,1435.9,535.4,12943.3,10
30,SAT_066,"Paumalu, USA",37.33,1339.0,693.8,12943.3,10
30,SAT_108,"Obihiro, Japan",31.65,1274.1,838.5,12943.3,10
30,SAT_001,"Awarua, New Zeland",31.6,1273.5,889.0,12943.3,10
30,SAT_113,"Chitose, Japan",25.28,1201.4,1033.4,12943.3,10
30,SAT_119,"Seoul, South Korea",24.33,1190.6,1064.9,12943.3,10
30,SAT_035,"Tahiti, French Polynesia",22.94,1174.7,1116.1,12943.3,10
30,SAT_146,Singapore,12.32,1053.6,1639.8,12943.3,10
31,SAT_186,"Dubbo, Australia",84.91,1881.9,51.3,12501.2,10
31,SAT_170,"Alice Springs, Australia",75.75,1777.4,144.7,12501.2,10
31,SAT_062,"Kapolei, USA",29.24,1246.6,898.3,12501.2,10
31,SAT_109,"Obihiro, Japan",19.99,1141.0,1241.3,12501.2,10
31,SAT_002,"Awarua, New Zeland",19.94,1140.5,1299.9,12501.2,10
31,SAT_068,"Paumalu, USA",19.9,1140.0,1238.9,12501.2,10
31,SAT_119,"Seoul, South Korea",15.55,1090.4,1455.9,12501.2,10
31,SAT_036,"Tahiti, French Polynesia",13.85,1071.0,1550.9,12501.2,10
31,SAT_128,"Harmon, Guam",9.34,1019.5,1846.0,12501.2,10
31,SAT_146,Singapore,7.01,992.9,2024.4,12501.2,10
32,SAT_170,"Alice Springs, Australia",66.3,1669.6,248.2,9528.3,8
32,SAT_185,"Dubbo, Australia",55.47,1546.0,387.2,9528.3,8
32,SAT_061,"Kapolei, USA",17.86,1116.8,1329.5,9528.3,8
32,SAT_122,"Harmon, Guam",17.47,1112.3,1352.8,9528.3,8
32,SAT_109,"Obihiro, Japan",12.43,1054.8,1641.3,9528.3,8
32,SAT_071,"Paumalu, USA",9.21,1018.0,1857.3,9528.3,8
32,SAT_006,"Awarua, New Zeland",8.66,1011.7,1918.9,9528.3,8
32,SAT_036,"Tahiti, French Polynesia",7.55,999.1,1985.1,9528.3,8
33,SAT_169,"Alice Springs, Australia",40.61,1376.4,628.1,4927.5,4
33,SAT_185,"Dubbo, Australia",33.65,1297.0,788.8,4927.5,4
33,SAT_122,"Harmon, Guam",27.04,1221.5,966.9,4927.5,4
33,SAT_061,"Kapolei, USA",10.48,1032.6,1759.7,4927.5,4
34,SAT_123,"Harmon, Guam",42.75,1400.9,582.1,4735.2,4
34,SAT_168,"Alice Springs, Australia",25.79,1207.3,1011.8,4735.2,4
34,SAT_184,"Dubbo, Australia",21.33,1156.4,1186.4,4735.2,4
34,SAT_060,"Kapolei, USA",5.06,970.7,2189.0,4735.2,4
35,SAT_124,"Harmon, Guam",70.12,1713.1,202.5,3882.9,3
35,SAT_167,"Alice Springs, Australia",16.67,1103.2,1393.3,3882.9,3
35,SAT_182,"Dubbo, Australia",13.46,1066.6,1579.6,3882.9,3
36,SAT_126,"Harmon, Guam",72.44,1739.6,177.2,3773.3,3
36,SAT_166,"Alice Springs, Australia",10.36,1031.2,1771.6,3773.3,3
36,SAT_180,"Dubbo, Australia",7.85,1002.5,1965.2,3773.3,3
37,SAT_128,"Harmon, Guam",44.47,1420.4,548.5,2396.9,2
37,SAT_164,"Alice Springs, Australia",5.57,976.5,2145.3,2396.9,2
38,SAT_130,"Harmon, Guam",28.6,1239.3,911.8,1239.3,1
39,SAT_133,"Harmon, Guam",19.04,1130.2,1266.6,1130.2,1
40,SAT_136,"Harmon, Guam",12.62,1056.9,1610.1,1056.9,1
41,SAT_005,"Harmon, Guam",10.67,1034.8,1745.9,1034.8,1
42,SAT_009,"Harmon, Guam",17.12,1108.3,1362.5,1108.3,1
43,SAT_012,"Harmon, Guam",26.77,1218.4,969.2,1218.4,1
