Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Selected
640,SAT_193,"Öjebyn, Sweden",64.83,718.7,262.7,YES
641,SAT_192,"Sodankylä, Finland",75.11,833.6,149.6,YES
642,SAT_192,"Sodankylä, Finland",63.6,705.0,277.5,YES
643,SAT_065,"Cordoba, Argentina",86.68,962.9,32.5,YES
644,SAT_077,"Ushuaia, Argentina",63.19,700.4,285.2,YES
645,SAT_076,"Punta Arenas, Chile",79.3,880.4,107.6,YES
646,SAT_076,"Punta Arenas, Chile",55.94,619.4,378.3,YES
647,SAT_028,"Pendergrass, USA",80.88,898.1,89.1,YES
648,SAT_028,"Pendergrass, USA",55.75,617.2,371.3,YES
649,SAT_147,Singapore,71.19,789.8,187.5,YES
650,SAT_147,Singapore,67.52,748.8,227.4,YES
651,SAT_002,"Deadhorse, USA",61.64,683.1,266.7,YES
652,SAT_200,"Utqiagvik, USA",85.44,949.0,45.2,YES
653,SAT_004,"North Pole, USA",81.05,900.0,89.1,YES
654,SAT_170,"Seoul, South Korea",88.47,982.9,14.9,YES
655,SAT_025,"Mojave, USA",57.77,639.8,346.4,YES
656,SAT_176,"Chitose, Japan",82.22,913.1,76.7,YES
657,SAT_130,"Alice Springs, Australia",87.14,968.0,28.1,YES
658,SAT_104,"Awarua, New Zeland",73.85,819.5,165.7,YES
659,SAT_120,"Dubbo, Australia",86.5,960.9,34.8,YES
660,SAT_158,"Harmon, Guam",64.5,715.0,263.5,YES
661,SAT_158,"Harmon, Guam",76.28,846.7,136.0,YES
662,SAT_065,"Tahiti, French Polynesia",64.24,712.0,269.5,YES
663,SAT_065,"Tahiti, French Polynesia",72.89,808.8,172.9,YES
664,SAT_020,"Kapolei, USA",73.41,814.6,166.9,YES
665,SAT_020,"Kapolei, USA",41.89,462.3,597.3,YES
666,SAT_020,"Kapolei, USA",25.11,274.7,1029.7,YES
667,SAT_021,"Kapolei, USA",15.32,165.4,1461.4,YES
668,SAT_021,"Kapolei, USA",8.69,91.2,1893.4,YES
