Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Aggregated_Rate_Mbps,Simultaneous_Count
34,SAT_123,"Harmon, Guam",42.75,472.0,582.1,1037.6,4
34,SAT_168,"Alice Springs, Australia",25.79,282.4,1011.8,1037.6,4
34,SAT_184,"Dubbo, Australia",21.33,232.6,1186.4,1037.6,4
34,SAT_060,"Kapolei, USA",5.06,50.6,2189.0,1037.6,4
35,SAT_124,"Harmon, Guam",70.12,777.8,202.5,1102.9,3
35,SAT_167,"Alice Springs, Australia",16.67,180.5,1393.3,1102.9,3
35,SAT_182,"Dubbo, Australia",13.46,144.6,1579.6,1102.9,3
36,SAT_126,"Harmon, Guam",72.44,803.7,177.2,995.5,3
36,SAT_166,"Alice Springs, Australia",10.36,109.9,1771.6,995.5,3
36,SAT_180,"Dubbo, Australia",7.85,81.9,1965.2,995.5,3
37,SAT_128,"Harmon, Guam",44.47,491.1,548.5,547.5,2
37,SAT_164,"Alice Springs, Australia",5.57,56.4,2145.3,547.5,2
38,SAT_130,"Harmon, Guam",28.6,313.7,911.8,313.7,1
39,SAT_133,"Harmon, Guam",19.04,206.9,1266.6,206.9,1
40,SAT_136,"Harmon, Guam",12.62,135.1,1610.1,135.1,1
41,SAT_005,"Harmon, Guam",10.67,113.4,1745.9,113.4,1
42,SAT_009,"Harmon, Guam",17.12,185.4,1362.5,185.4,1
43,SAT_012,"Harmon, Guam",26.77,293.3,969.2,293.3,1
44,SAT_014,"Harmon, Guam",43.35,478.6,567.1,603.2,3
44,SAT_092,"Dubbo, Australia",6.66,68.6,2054.3,603.2,3
44,SAT_081,"Alice Springs, Australia",5.54,56.0,2146.4,603.2,3
45,SAT_016,"Harmon, Guam",74.09,822.2,158.7,1070.2,3
45,SAT_091,"Dubbo, Australia",12.41,132.9,1634.9,1070.2,3
45,SAT_080,"Alice Springs, Australia",10.82,115.1,1735.1,1070.2,3
46,SAT_018,"Harmon, Guam",65.1,721.7,256.8,1139.8,3
46,SAT_091,"Dubbo, Australia",20.42,222.4,1214.9,1139.8,3
46,SAT_078,"Alice Springs, Australia",18.04,195.7,1318.4,1139.8,3
47,SAT_019,"Harmon, Guam",37.7,415.4,676.5,1098.5,3
47,SAT_091,"Dubbo, Australia",33.05,363.5,795.4,1098.5,3
47,SAT_077,"Alice Springs, Australia",29.12,319.6,898.6,1098.5,3
48,SAT_091,"Dubbo, Australia",55.82,618.0,377.2,1539.2,4
48,SAT_076,"Alice Springs, Australia",48.81,539.6,477.0,1539.2,4
48,SAT_020,"Harmon, Guam",22.92,250.3,1099.3,1539.2,4
48,SAT_003,"Obihiro, Japan",12.27,131.2,1635.0,1539.2,4
49,SAT_091,"Dubbo, Australia",83.42,926.4,65.4,2487.9,6
49,SAT_075,"Alice Springs, Australia",82.35,914.5,75.4,2487.9,6
49,SAT_003,"Obihiro, Japan",20.24,220.3,1214.3,2487.9,6
49,SAT_021,"Harmon, Guam",13.96,150.1,1524.6,2487.9,6
49,SAT_012,"Seoul, South Korea",13.54,145.5,1553.2,2487.9,6
49,SAT_105,"Awarua, New Zeland",12.25,131.0,1650.2,2487.9,6
50,SAT_075,"Alice Springs, Australia",55.91,619.0,373.7,2526.0,9
50,SAT_091,"Dubbo, Australia",49.77,550.3,466.6,2526.0,9
50,SAT_003,"Obihiro, Japan",32.84,361.2,794.1,2526.0,9
50,SAT_008,"Chitose, Japan",24.77,271.0,1035.6,2526.0,9
50,SAT_013,"Seoul, South Korea",22.2,242.2,1130.1,2526.0,9
50,SAT_102,"Awarua, New Zeland",21.22,231.3,1186.3,2526.0,9
50,SAT_166,"Kapolei, USA",9.53,100.6,1810.4,2526.0,9
50,SAT_025,"Harmon, Guam",7.46,77.5,1969.6,2526.0,9
50,SAT_172,"Paumalu, USA",7.05,73.0,2004.3,2526.0,9
51,SAT_003,"Obihiro, Japan",55.71,616.8,375.1,2993.3,9
51,SAT_006,"Chitose, Japan",45.89,507.0,523.1,2993.3,9
51,SAT_013,"Seoul, South Korea",36.56,402.7,702.8,2993.3,9
51,SAT_103,"Awarua, New Zeland",33.73,371.1,782.1,2993.3,9
51,SAT_074,"Alice Springs, Australia",32.67,359.3,801.2,2993.3,9
51,SAT_091,"Dubbo, Australia",29.95,328.8,884.2,2993.3,9
51,SAT_165,"Kapolei, USA",15.6,168.4,1428.3,2993.3,9
51,SAT_170,"Paumalu, USA",12.71,136.2,1597.8,2993.3,9
51,SAT_045,Singapore,9.73,102.9,1791.6,2993.3,9
52,SAT_004,"Chitose, Japan",85.71,952.1,42.1,4770.0,11
52,SAT_003,"Obihiro, Japan",83.23,924.4,66.6,4770.0,11
52,SAT_013,"Seoul, South Korea",63.2,700.5,279.4,4770.0,11
52,SAT_103,"Awarua, New Zeland",56.18,622.0,374.6,4770.0,11
52,SAT_071,"Mingenew, Australia",38.34,422.7,667.3,4770.0,11
52,SAT_164,"Kapolei, USA",24.26,265.2,1045.2,4770.0,11
52,SAT_168,"Paumalu, USA",20.86,227.2,1178.9,4770.0,11
52,SAT_091,"Dubbo, Australia",18.69,203.0,1302.1,4770.0,11
52,SAT_046,Singapore,17.04,184.5,1350.5,4770.0,11
52,SAT_080,"Alice Springs, Australia",15.92,172.1,1433.7,4770.0,11
52,SAT_133,"Tahiti, French Polynesia",9.15,96.4,1841.6,4770.0,11
53,SAT_103,"Awarua, New Zeland",86.04,955.7,39.5,5020.6,10
53,SAT_014,"Seoul, South Korea",73.65,817.2,163.4,5020.6,10
53,SAT_070,"Mingenew, Australia",66.32,735.3,244.4,5020.6,10
53,SAT_004,"Chitose, Japan",54.2,599.9,396.4,5020.6,10
53,SAT_002,"Obihiro, Japan",47.06,520.1,440.4,5020.6,10
53,SAT_164,"Kapolei, USA",38.07,419.6,664.7,5020.6,10
53,SAT_166,"Paumalu, USA",34.39,378.4,748.2,5020.6,10
53,SAT_046,Singapore,28.32,310.7,909.1,5020.6,10
53,SAT_133,"Tahiti, French Polynesia",15.11,163.0,1459.0,5020.6,10
53,SAT_091,"Dubbo, Australia",11.32,120.7,1719.8,5020.6,10
54,SAT_070,"Mingenew, Australia",70.98,787.4,192.8,4689.5,10
